close,change,momentum,Prediction
47.8841,-0.676,-1.0,60.2985
48.0246,0.1405,1.0,60.0351
47.3398,-0.6848,-1.0,60.439
47.3486,0.0088,1.0,60.8867
47.8314,0.4829,1.0,60.9043
47.568,-0.2634,-1.0,60.4565
48.8674,1.2994,1.0,60.9745
48.9552,0.0878,1.0,61.5277
49.1659,0.2107,1.0,61.6681
49.5786,0.4126,1.0,62.1159
48.6655,-0.9131,-1.0,62.309
48.7445,0.079,1.0,62.3705
48.6567,-0.0878,-1.0,62.9939
48.6831,0.0263,1.0,63.0817
48.6216,-0.0615,-1.0,64.4513
49.0255,0.4039,1.0,63.5294
48.885,-0.1405,-1.0,63.4767
49.2011,0.3161,1.0,63.4943
49.9122,0.7112,1.0,63.9333
49.6049,-0.3073,-1.0,63.986
49.2537,-0.3512,-1.0,64.2318
48.7445,-0.5092,-1.0,63.6436
48.5075,-0.2371,-1.0,63.4065
48.6479,0.1405,1.0,63.3626
49.6225,0.9745,1.0,63.6348
50.5707,0.9482,1.0,63.3011
50.3424,-0.2283,-1.0,63.3363
49.6488,-0.6936,-1.0,63.2924
49.0342,-0.6146,-1.0,63.0817
48.9464,-0.0878,-1.0,62.8446
49.9824,1.036,1.0,62.8622
49.8595,-0.1229,-1.0,63.4241
50.2371,0.3775,1.0,63.2046
50.4565,0.2195,1.0,63.5119
50.1756,-0.2809,-1.0,63.6172
50.5795,0.4039,1.0,63.9157
50.1932,-0.3863,-1.0,64.0825
50.7287,0.5356,1.0,63.8104
50.7814,0.0527,1.0,62.8709
51.2994,0.518,1.0,63.1168
51.3696,0.0702,1.0,63.1256
51.2379,-0.1317,-1.0,63.5119
51.0711,-0.1668,-1.0,63.0641
50.9921,-0.079,-1.0,63.5997
50.8955,-0.0966,-1.0,63.4592
51.2906,0.3951,1.0,63.2397
51.3696,0.079,1.0,62.2827
51.2643,-0.1054,-1.0,62.2827
51.2555,-0.0088,-1.0,62.5988
50.8604,-0.3951,-1.0,62.4759
50.9921,0.1317,1.0,62.6954
51.0097,0.0176,1.0,63.2572
51.0887,0.079,1.0,63.5119
52.1159,1.0272,1.0,64.2054
52.0193,-0.0966,-1.0,64.7849
51.8349,-0.1844,-1.0,64.741
51.6594,-0.1756,-1.0,64.9781
50.3863,-1.273,-1.0,65.1273
50.7287,0.3424,1.0,65.0483
51.3169,0.5882,1.0,65.0571
51.2818,-0.0351,-1.0,65.1098
51.3345,0.0527,1.0,65.619
51.3169,-0.0176,-1.0,65.5663
51.4838,0.1668,1.0,65.3468
51.4838,0.0,0.0,64.2054
51.6769,0.1932,1.0,64.0474
51.2643,-0.4126,-1.0,63.6699
50.9921,-0.2722,-1.0,64.0211
51.2994,0.3073,1.0,63.705
51.5013,0.2019,1.0,63.547
51.3696,-0.1317,-1.0,63.3538
51.3521,-0.0176,-1.0,63.2309
51.6857,0.3336,1.0,62.4232
51.712,0.0263,1.0,62.7919
52.2651,0.5531,1.0,62.3529
51.993,-0.2722,-1.0,61.6681
51.3433,-0.6497,-1.0,61.7033
51.0975,-0.2458,-1.0,63.0465
51.2379,0.1405,1.0,63.6611
51.2028,-0.0351,-1.0,63.9684
51.7208,0.518,1.0,63.4943
52.0018,0.2809,1.0,64.7234
52.0896,0.0878,1.0,65.0395
51.8964,-0.1932,-1.0,65.1361
51.2906,-0.6058,-1.0,65.5839
51.0975,-0.1932,-1.0,66.2423
